t,exporter,importer,value,quantity,exp_mis,imp_mis,quality
1995,DNK,GRC,3.08386119807508,19.621,0,0,neutral
1995,DNK,HKG,548.6455208338913,1109.275887235242,0,0.01,neutral
1995,DNK,IRL,342.797,620.421,0,0,neutral
1995,DNK,ITA,42.35524434325969,46.6291300561669,0,0,neutral
1995,DNK,NLD,216.44561399450097,588.2065104334946,0,0,neutral
1995,DNK,NOR,53.104440132845696,78.3450680749967,0,0,neutral
1995,DNK,SWE,297.4423078806464,764.4269371167982,0,0,neutral
1995,DNK,USA,204.698507809045,518.116137316433,0,0,neutral
1995,ECU,SLV,2.22531822683949,49.2083039624648,0.3,0.33,neutral
1995,ESP,BEL,513.929408080692,555.206886676969,0,0,neutral
1995,ESP,CAN,29.513,22.14,0,0,neutral
1995,ESP,DEU,777.5815657839044,656.33328070586,0,0,neutral
1995,ESP,FRA,571.598884285826,456.066464785425,0,0,neutral
1995,ESP,GBR,26.3983356450061,38.6122015003256,0,0,neutral
1995,ESP,HKG,196.56801499046202,577.792,0,0.01,neutral
1995,ESP,IRL,472.574220279474,1076.58511507172,0,0,neutral
1995,ESP,ITA,944.171332357578,1835.949132468451,0,0,neutral
1995,ESP,NLD,1941.206562072347,371.64509185073,0,0,neutral
1995,ESP,PRT,260.35217192765344,1052.971,0,0,neutral
1995,ESP,USA,506.947775101615,908.52307283159,0,0,neutral
1995,FIN,DEU,160.2680795505817,252.314209734653,0,0,neutral
1995,FIN,DNK,16.19035431954387,22.507,0,0,neutral
1995,FIN,HKG,64.93070147036488,218.1343667483526,0,0.01,neutral
1995,FIN,NLD,19.447,32.71,0,0,neutral
1995,FIN,NOR,21.22648620635088,70.6201826869453,0,0,neutral
1995,FIN,SWE,159.0129279499581,392.53214287159625,0,0,neutral
1995,FIN,USA,173.435645764799,463.504282182548,0,0,neutral
1995,FRA,BEL,4613.8580676826605,12955.26548315071,0,0,neutral
1995,FRA,CAN,437.02245498467715,864.460787436713,0,0,neutral
1995,FRA,DEU,4328.973167613066,9612.53371432778,0,0,neutral
1995,FRA,DNK,1.002,1.187,0,0,neutral
1995,FRA,ESP,8338.778958386705,16014.086435766998,0,0,neutral
1995,FRA,GBR,1693.008645852582,2213.892090758855,0,0,neutral
1995,FRA,GRC,9.9329354521917,4.061999999999999,0,0,neutral
1995,FRA,HKG,2222.177527220123,6437.68364045224,0,0.01,neutral
1995,FRA,IRL,1124.80063760787,1283.92442723805,0,0,neutral
1995,FRA,ISR,74.498309868047,66.199,0,0.01,neutral
1995,FRA,ITA,24755.65941745169,37805.79885466624,0,0,neutral
1995,FRA,NLD,3796.791972584782,8705.549595710349,0,0,neutral
1995,FRA,NOR,4.3907360046159,33.275999999999996,0,0,neutral
1995,FRA,PRT,133.41990525200785,230.15303445592664,0,0,neutral
1995,FRA,SGP,45.932,38.601,0,0,neutral
1995,FRA,SWE,51.338593824286,128.1353333797546,0,0,neutral
1995,FRA,USA,4947.147449958179,6229.71998413967,0,0,neutral
1995,GBR,ARE,72.811,20.792,0,0,neutral
1995,GBR,AUS,161.241694248038,475.417,0,0,neutral
1995,GBR,BEL,242.9456347280698,598.447660399938,0,0,neutral
1995,GBR,BRN,4.734,0.32,0,0.01,neutral
1995,GBR,CAN,280.902839610207,382.259834886132,0,0,neutral
1995,GBR,CYP,5.63953747932396,7.19099391740227,0,0,neutral
1995,GBR,DEU,2196.8155206700376,4217.181004137925,0,0,neutral
1995,GBR,DNK,84.83576280335238,34.66727238609233,0,0,neutral
1995,GBR,ESP,256.5498182297256,228.60889016696902,0,0,neutral
1995,GBR,FIN,9.829,0.199,0,0,neutral
1995,GBR,FRA,824.2472753060723,389.04557439751665,0,0,neutral
1995,GBR,GRC,119.51536090632834,83.9221942357177,0,0,neutral
1995,GBR,HKG,2027.7993254369885,3694.23960595978,0,0.01,neutral
1995,GBR,IRL,1234.0507832564979,916.458343814879,0,0,neutral
1995,GBR,ISL,38.098,9.812,0,0,neutral
1995,GBR,ISR,142.803,72.968,0,0.01,neutral
1995,GBR,ITA,2676.5465234918424,4470.527093166795,0,0,neutral
1995,GBR,JPN,98.787,74.959,0,0,neutral
1995,GBR,NLD,1844.0394585809006,2126.72579718854,0,0,neutral
1995,GBR,NOR,216.155665375171,78.895363893986,0,0,neutral
1995,GBR,NZL,6.621,0.871,0,0,neutral
1995,GBR,OMN,3.78,0.001,0,0.04,neutral
1995,GBR,PRT,3.9018356677568,2.63999558304388,0,0,neutral
1995,GBR,QAT,52.333,7.687,0,0,neutral
